opportunity_id,direction,wait_signal_i,immediate_entry_i,system,location_score,direction_score,reaction_score,total_evidence
OPP_00092282_SHORT,SHORT,92282,92283,E,1,1,1,3
OPP_00092521_SHORT,SHORT,92521,92522,E,2,0,1,2
OPP_00092667_LONG,LONG,92667,92668,E,1,1,2,3
OPP_00092856_SHORT,SHORT,92856,92857,E,2,0,2,3
OPP_00093044_SHORT,SHORT,93044,93045,E,1,1,1,3
OPP_00093427_LONG,LONG,93427,93428,E,2,0,2,3
OPP_00093988_SHORT,SHORT,93988,93989,E,2,0,1,2
OPP_00094154_LONG,LONG,94154,94155,E,2,-1,2,2
OPP_00094444_LONG,LONG,94444,94445,E,1,0,2,2
OPP_00094766_LONG,LONG,94766,94767,E,2,-1,2,2
OPP_00095204_LONG,LONG,95204,95205,E,2,1,1,3
OPP_00095291_LONG,LONG,95291,95292,E,2,0,1,2
OPP_00095323_LONG,LONG,95323,95324,E,1,0,2,2
OPP_00095551_SHORT,SHORT,95551,95552,E,2,0,2,3
OPP_00095900_SHORT,SHORT,95900,95901,E,1,1,1,3
OPP_00095963_SHORT,SHORT,95963,95964,E,1,1,1,3
OPP_00096620_LONG,LONG,96620,96621,E,2,1,0,3
OPP_00096840_LONG,LONG,96840,96841,E,1,1,1,2
OPP_00096958_SHORT,SHORT,96958,96959,E,1,0,2,2
OPP_00097258_LONG,LONG,97258,97259,E,1,1,1,3
OPP_00097309_LONG,LONG,97309,97310,E,2,0,2,3
OPP_00097417_LONG,LONG,97417,97418,E,0,2,2,3
OPP_00097432_SHORT,SHORT,97432,97433,E,2,0,1,2
OPP_00097641_SHORT,SHORT,97641,97642,E,0,2,2,3
OPP_00097722_SHORT,SHORT,97722,97723,E,1,1,2,3
OPP_00097763_LONG,LONG,97763,97764,E,2,0,1,2
OPP_00098027_SHORT,SHORT,98027,98028,E,2,0,1,2
OPP_00098046_SHORT,SHORT,98046,98047,E,1,1,1,2
OPP_00098582_LONG,LONG,98582,98583,E,1,0,3,3
OPP_00098772_SHORT,SHORT,98772,98773,E,2,0,2,3
OPP_00098822_SHORT,SHORT,98822,98823,E,2,0,1,2
OPP_00098865_SHORT,SHORT,98865,98866,E,2,0,1,2
OPP_00099241_SHORT,SHORT,99241,99242,E,1,0,2,2
OPP_00099419_SHORT,SHORT,99419,99420,E,1,1,1,2
OPP_00099445_SHORT,SHORT,99445,99446,E,1,1,1,3
OPP_00099782_LONG,LONG,99782,99783,E,2,0,2,3
OPP_00099822_SHORT,SHORT,99822,99823,E,3,1,0,3
OPP_00099962_SHORT,SHORT,99962,99963,E,0,1,2,3
OPP_00100057_LONG,LONG,100057,100058,E,2,0,1,2
OPP_00100334_SHORT,SHORT,100334,100335,E,0,1,2,3
OPP_00100495_SHORT,SHORT,100495,100496,E,1,1,2,3
