window_id,timestamp,open,high,low,close,continuation_state,reversal_state,L,S,RL,RS,entry_price,stop,target
JUN_20_26_2026,2026-06-26 11:45:00-05:00,26903.0,26949.25,26889.5,26916.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 12:00:00-05:00,26915.75,27003.75,26898.75,26955.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 12:15:00-05:00,26955.75,26959.25,26879.0,26939.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 12:30:00-05:00,26938.25,26980.25,26862.0,26901.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 12:45:00-05:00,26900.5,26916.25,26839.5,26847.75,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 13:00:00-05:00,26849.0,26885.75,26828.5,26842.5,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 13:15:00-05:00,26842.75,26854.5,26760.25,26765.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 13:30:00-05:00,26766.5,26816.0,26757.75,26778.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 13:45:00-05:00,26779.25,26779.25,26692.5,26719.25,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 14:00:00-05:00,26720.75,26808.75,26699.0,26805.75,WAIT,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 14:15:00-05:00,26805.25,26807.5,26723.75,26756.0,ACTIVE,WAIT_RECLAIM,True,False,False,False,26756.0,26682.036267555108,26977.891197334677
JUN_20_26_2026,2026-06-26 14:30:00-05:00,26755.0,26847.75,26733.0,26841.5,ACTIVE,WAIT_RECLAIM,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 14:45:00-05:00,26842.25,26873.25,26587.5,26619.75,IDLE,WAIT_RETEST,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 15:00:00-05:00,26621.75,26713.75,26570.0,26654.5,IDLE,WAIT_RETEST,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 15:15:00-05:00,26656.25,26687.5,26643.5,26645.0,IDLE,WAIT_RETEST,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 15:30:00-05:00,26645.0,26652.0,26560.5,26575.0,IDLE,IDLE,False,False,False,False,,,
JUN_20_26_2026,2026-06-26 15:45:00-05:00,26575.0,26611.0,26558.75,26586.75,IDLE,IDLE,False,False,False,False,,,
